2026 Competitive Events Schedule:
Always double check with the tournament organizer to verify date and format.
Local/Regional Events:
Regional Championship Qualifiers Season 4 Round 3 (Nov 29-Mar 22)(leading to either US Regional Championship at SCG CON Cincinnati or Washington, DC or both with two qualifications, then Pro Tour Amsterdam) - Standard or Limited:
Jan 2 - Amazing Fantasy Books and Comics - Frankfort, IL - Standard
Jan 3 10pm - Chupacabra Games - Naperville, IL - Standard
Jan 3 - Tier 1 Games - Kokomo, IN - Standard
Jan 3 - Empire Comics - New Albany, IN - TLA? Limited
Jan 3 - Super Hideaway Games - Holland, MI - Standard
Jan 3 - Dreamers Vault Games - Roseville, MN - Standard
Jan 3 - Game Cafe - Independence, MO - 2-slot Standard
Jan 3 - BK Games - St Robert, MO - Standard
Jan 3 - Paradox Comics-N-Cards - Fargo, ND - 2-slot TLA Limited
Jan 3 - The Game Shoppe - Omaha, NE - Standard
Jan 3 - Freedom Gaming - North Canton, OH - Standard
Jan 3 - SpellCrafter's Den - Upper Sandusky, OH - Standard
Jan 3 - Lookout Games - Spearfish, SD - Standard
Jan 3 - d20 Gaming - Eau Claire, WI - Standard
Jan 3 - Misty Mountain Games - Madison, WI - Standard
Jan 3 - Game Universe - Mequon, WI - Standard
Jan 3 - Dragons, Daggers N' Games - Merrill, WI - Standard
Jan 4 - Good Game - Waterloo, IA - Standard
Jan 4 - Gamers World - Old Orchard - Skokie, IL - Standard
Jan 4 - Larry's Game Store - Olathe, KS - Standard
Jan 4 - 2 Bros & a Box - Stillwater, MN - Standard
Jan 4 - Cardboard Horde - Sidney, OH - Standard
Jan 4 - Evolution Gaming - Butler, WI - Standard
Jan 4 - The Mana Vault MKE - St Francis, WI - 2-slot Standard
Jan 10 - Dungeon's Gate - Ankeny, IA - 2-slot Standard
Jan 10 - Dark Vassal Gaming - Cedar Falls, IA - Standard
Jan 10 - Spellbound Games - Chicago, IL - TLA Limited
Jan 10 - Impact Gaming Center - Fairview Heights, IL - TLA Limited
Jan 10 - Moonshot Games - Plainfield, IN - 2-slot Standard
Jan 10 - Galactic Toys - Kentwood, MI - 2-slot Standard
Jan 10 - Dreamers Vault Games - St Louis Park, MN - Standard
Jan 10 - Hurley's Heroes - Joplin, MO - Standard
Jan 10 - Ken's Comic Man - Poplar Bluff, MO - Standard
Jan 10 - Parallax Computers and Games - Bismarck, ND - Standard
Jan 10 - JWW Sports Cards & Gaming - Fargo, ND - Standard
Jan 10 - HobbyTown USA - Lincoln, NE (south) - 2-slot Standard
Jan 10 - Apex Gaming - Caldwell, OH - 2-slot Standard
Jan 10 - Hobby Central - Delaware, OH - Standard
Jan 10 - Deck Factory Gaming Center - Lima, OH - Standard
Jan 10 - Video Games Galaxy - Newark, OH - Standard
Jan 10 - Shuffler's Den - Willoughby Hills, OH - Standard
Jan 10 - Dragon's Den - Sioux Falls, SD - Standard
Jan 10 - Lookout Games - Spearfish, SD - Standard
Jan 10 - Undercity Games - Eau Claire, WI - Standard
Jan 10 - Colosseum Games - Kenosha, WI - Standard
Jan 10 - Midwest Jedi - River Falls, WI - Standard
Jan 11 - GameUphoria - Washington, MO - Standard
Jan 17 - Remis Arcane Exchange - Muscatine, IA - 2-slot Standard
Jan 17 - The Castle Games - Columbus, IN - 2-slot Standard
Jan 17 - Next Level Games - Muncie, IN - Standard
Jan 17 - Battle Bunker - Dickinson, ND - Standard
Jan 17 - Better Plays Gaming - Stow, OH - Standard
Jan 17 - Izzi's Gym - Sioux Falls, SD - Standard
Jan 17 - Slick Mimic's - Board & Card Games Shoppe - Appleton, WI - Standard
Jan 17 - The Dragon's Roost - Marshfield, WI - Standard
Jan 18 - Grandmaster Games - Oak Park, IL - Standard
Jan 23 - Kugelblitz Gaming - Hermann, MO - ECL Limited
Jan 24 - Boar's Hat Gaming - Elgin, IL - Standard
Jan 24 - Evanston Games and Cafe - Evanston, IL - 2-slot Standard
Jan 24 - Pastimes - Niles, IL - 2-slot ECL Limited
Jan 24 - Next Level Games - Muncie, IN - Standard
Jan 24 - Arena Hobbies - Derby, KS - TLA Limited
Jan 24 - The Gamers Guild - Hays, KS - ECL Limited
Jan 24 - Gators Games and Hobbies - Leavenworth, KS - 2-slot Standard
Jan 24 - Sylvan Factory - Ann Arbor, MI - 2-slot ECL Limited
Jan 24 - CCGPrime - North - Cedar Springs, MI - Standard
Jan 24 - Gamer's Gauntlet - Clinton Township, MI - Standard
Jan 24 - The Upkeep Games - Howell, MI - 2-slot Standard
Jan 24 - Dreamers Vault Games - Minneapolis, MN - Standard
Jan 24 - The Fan Zone - Waite Park, MN - ECL Limited
Jan 24 - Hurley's Heroes - Joplin, MO - Standard
Jan 24 - Forge and Fire Gaming - Maryland Heights, MO - ECL Limited
Jan 24 - JC Hobby - Norfolk, NE - Standard
Jan 24 - Epic Loot Games - Centerville, OH - 2-slot Standard
Jan 24 - Recess Games - North Olmsted, OH - 2-slot Standard
Jan 25 - Limited Edition - Cedar Falls, IA - Standard
Jan 25 - Now and Then - Mason City, IA - Standard
Jan 25 10am - Games King - Sioux City, IA - Standard
Jan 25 4pm - Games King - Sioux City, IA - Standard
Jan 25 - Dice Dojo - Chicago, IL - ECL Limited
Jan 25 - The Gamers Guild - Hays, KS - Standard
Jan 25 - Level Up Games - St. Paul, MN - 2-slot Standard
Jan 30 6:30pm - Mayhem Collectibles - Des Moines, IA - Standard
Jan 31 - Dark Vassal Gaming - Cedar Falls, IA - Standard
Jan 31 - Mayhem Collectibles - Des Moines, IA - Standard
Jan 31 - Titan Games - Champaign, IL - Standard
Jan 31 - GameStorm - Lemont, IL - 2-slot Standard
Jan 31 - The Kingdom: Cards and Games - Kokomo, IN - Standard
Jan 31 - Moonshot Games - Noblesville, IN - 2-slot ECL Limited
Jan 31 - The Castle Games - Seymour, IN - 2-slot Standard
Jan 31 - Game Nut Entertainment - Lawrence, KS - Standard
Jan 31 - Goblin Games - Manhattan, KS - 2-slot ECL Limited
Jan 31 - One Drop Game Shop - Wichita, KS - 2-slot Standard
Jan 31 - Perfect Storm Comics and Games - Battle Creek, MI - ECL Limited
Jan 31 1pm - CCGPrime - Ionia, MI - Standard
Jan 31 5pm - CCGPrime - Central - Ionia, MI - Standard
Jan 31 - Dreamers Vault Games - Burnsville, MN - Standard
Jan 31 - Spanky's Card Shop - Kansas City, MO - 2-slot Standard
Jan 31 - Ken's Comic Man - Poplar Bluff, MO - Standard
Jan 31 - BK Games - St Robert, MO - Standard
Jan 31 - North Coast Games - Mentor, OH - Standard
Jan 31 - Freedom Gaming - North Canton, OH - ECL Limited
Jan 31 - Line Drive Sports Cards - Tiffin, OH - Standard
Jan 31 - Game Universe - Brookfield, WI - Standard
Jan 31 - The Dragon's Roost - Marshfield, WI - Standard
Jan 31 - Adventure Games - Oshkosh, WI - 2-slot Standard
Feb 1 - Mayhem Collectibles - Des Moines, IA - Standard
Feb 1 - Good Game - Waterloo, IA - Standard
Feb 1 - Goblin Games - Manhattan, KS - 2-slot ECL Limited
Feb 1 - Cardboard Horde - Sidney, OH - Standard
Feb 1 - Evolution Gaming - Butler, WI - Standard
Feb 1 - The Mana Vault MKE - St Francis, WI - 2-slot ECL Limited
Feb 4 - Mythic Forge Gaming - Madison Heights, MI - Standard
Feb 7 - Moxie Card Shop - Des Moines, IA - Standard
Feb 7 - Spellbound Games - Chicago, IL - Standard
Feb 7 10pm - Chupacabra Games - Naperville, IL - Standard
Feb 7 - The Castle Games - Bloomington - Ellettsville, IN - 2-slot Standard
Feb 7 - Tier 1 Games - Lafayette, IN - Standard
Feb 7 - Moonshot Games - Noblesville, IN - 2-slot Standard
Feb 7 - The Arena - Salina, KS - Standard
Feb 7 - Dreamers Vault Games - Champlin, MN - Standard
Feb 7 - The Fan Zone - Waite Park, MN - Standard
Feb 7 - Hurley's Heroes - Joplin, MO - Standard
Feb 7 - Spanky's Card Shop - Kansas City, MO - 2-slot ECL Limited
Feb 7 - Paradox Comics-N-Cards - Fargo, ND - ECL Limited
Feb 7 - HobbyTown USA - Lincoln, NE (south) - 2-slot Standard
Feb 7 - Freedom Gaming - North Canton, OH - ECL Limited
Feb 7 - Shuffler's Den - Willoughby Hills, OH - Standard
Feb 7 - Dragon's Den - Sioux Falls, SD - Standard
Feb 7 - d20 Gaming - Eau Claire, WI - Standard
Feb 7 - Game Universe - Franklin, WI - Standard
Feb 7 - Tea & Tee Card and Hobby - Medford, WI - TMT Limited
Feb 8 - Limited Edition - Cedar Falls, IA - Standard
Feb 8 - Moxie Card Shop - Des Moines, IA - Standard
Feb 8 - 2 Bros & a Box - Stillwater, MN - Standard
Feb 8 - Spanky's Card Shop - Kansas City, MO - 2-slot ECL Limited
Feb 8 - Paradox Comics-N-Cards - Fargo, ND - 2-slot Standard
Feb 8 - Galaxy Games - Wintersville, OH - 2-slot Standard
Feb 12 - Mythic Forge Gaming - Madison Heights, MI - Standard
Feb 14 - Dark Vassal Gaming - Cedar Falls, IA - Standard
Feb 14 - The Castle Games - Columbus, IN - 2-slot Standard
Feb 14 - Moonshot Games - Plainfield, IN - 2-slot ECL Limited
Feb 14 - Game Nut Entertainment - Lawrence, KS - ECL Limited
Feb 14 - Gators Hobby and Games - Leavenworth, KS - 2-slot Standard
Feb 14 - CCGPrime - North - Cedar Springs, MI - Standard
Feb 14 - AFK Games - Holt, MI - 2-slot ECL Limited
Feb 14 - RIW Hobbies - Livonia, MI - Standard
Feb 14 - Dreamers Vault Games - South Saint Paul, MN - Standard
Feb 14 - Forge and Fire Gaming - Maryland Heights, MO - Standard
Feb 14 - Hobby Central - Delaware, OH - ECL Limited
Feb 14 - Izzi's Gym - Sioux Falls, SD - Standard
Feb 14 - Misty Mountain Games - Madison, WI - Standard
Feb 14 - The Mana Vault MKE - St Francis, WI - 2-slot Standard
Feb 15 - Asgard Keep - Mount Vernon, IL - Standard
Feb 15 - Goblin Games - Manhattan, KS - 2-slot Standard
Feb 15 - GameUphoria - Washington, MO - Standard
Feb 15 - Playmakers - Rapid City, SD - Standard
Feb 18 - Mythic Forge Gaming - Madison Heights, MI - Standard
Feb 21 - Remis Arcane Exchange - Muscatine, IA - 2-slot Standard
Feb 21 - Impact Gaming Center - Fairview Heights, IL - Standard
